identifier,title,short_desc,description,category,sub-category,type,price,icon,tags,labels,from-version,url,deeplink,ranks,validity-range,TTL
MT07,Argus All-Weather Tank,This is a variable product called a Argus All-Weather Tank,"The Argus All-Weather Tank is sure to become your favorite base layer or go-to cover for hot outdoor workouts. With its subtle reflective safely trim, you can even wear it jogging on urban evenings.",Clothing-Men,Tanks,variable,22,http://eimages.valtim.com/acme-images/product/m/t/mt07-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT08,Sparta Gym Tank,This is a variable product called a Sparta Gym Tank,"The high performance Sparta Gym Tank is made with thin, light, merino wool and aims to be the perfect base layer or balmy weather running and fitness top.",Clothing-Men,Tanks,variable,29,http://eimages.valtim.com/acme-images/product/m/t/mt08-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT09,Sinbad Fitness Tank,This is a variable product called a Sinbad Fitness Tank,"Solid in color and construction, the 100% cotton-weave Sinbad Fitness Tank moves with you as you press, hold, crunch and stride your way to the ultimate you.",Clothing-Men,Tanks,variable,29,http://eimages.valtim.com/acme-images/product/m/t/mt09-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT10,Tiberius Gym Tank,This is a variable product called a Tiberius Gym Tank,"Whether you're classy or just sweaty, the Tiberius Gym Tank helps you look good while you're at it. What's more, its moisture-wicking, quick-drying, anti-microbial and anti-odor construction help ensure you're welcome back to the gym.",Clothing-Men,Tanks,variable,18,http://eimages.valtim.com/acme-images/product/m/t/mt10-yellow_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT11,Atlas Fitness Tank,This is a variable product called a Atlas Fitness Tank,"From weekend warrior to Warrior Pose II, no role can beat the Atlas Fitness Tank, a versatile top for gym and yoga studio. Wicking-weave soft fabric helps prevent uncomfortable chafing.",Clothing-Men,Tanks,variable,18,http://eimages.valtim.com/acme-images/product/m/t/mt11-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
MT12,Cassius Sparring Tank,This is a variable product called a Cassius Sparring Tank,"Whether you're up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.",Clothing-Men,Tanks,variable,18,http://eimages.valtim.com/acme-images/product/m/t/mt12-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WB01,Electra Bra Top,This is a variable product called a Electra Bra Top,"A heavenly soft and stylish eco garment, the Electra Bra Top is perfect for wearing on its own as a hot yoga top or layered under a tank.",Clothing-Women,Bras-Tanks,variable,39,http://eimages.valtim.com/acme-images/product/w/b/wb01-gray_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WB02,Erica Evercool Sports Bra,This is a variable product called a Erica Evercool Sports Bra,"Perfect for medium-impact workouts, our Erica EverCool&trade; Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.",Clothing-Women,Bras-Tanks,variable,39,http://eimages.valtim.com/acme-images/product/w/b/wb02-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WB03,Celeste Sports Bra,This is a variable product called a Celeste Sports Bra,"Whatever your goals for the day's workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.",Clothing-Women,Bras-Tanks,variable,39,http://eimages.valtim.com/acme-images/product/w/b/wb03-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WB04,Prima Compete Bra Top,This is a variable product called a Prima Compete Bra Top,"Pull on the Prima Compete Bra Top and you'll love the fabric: soft, stretchy, and ultra lightweight. But you'll also love the racerback cut, for freer movement through all your athletic feats. <br /,`<br /,&bull; Colorblocked details.<br /,&bull; Machine wash/line dry.",Clothing-Women,Bras-Tanks,variable,24,http://eimages.valtim.com/acme-images/product/w/b/wb04-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WB05,Lucia Cross-Fit Bra ,This is a variable product called a Lucia Cross-Fit Bra ,"Being cool is a big part of being comfy, which is why the Lucia Cross-Fit Bra categorys moisture-wicking technology as well as soft, lightweight fabric.",Clothing-Women,Bras-Tanks,variable,39,http://eimages.valtim.com/acme-images/product/w/b/wb05-black_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WH01,Mona Pullover Hoodlie,This is a variable product called a Mona Pullover Hoodlie,"Whether you're after energizing activity or eye-catching apparel, the Mona Pullover is what you want. You'll stay warm and look fashionable, wherever you are.<br /, <br /, &bull; Light green heathered hoodie. <br /, &bull; Long-Sleeve, pullover.<br /, &bull; Long elliptical hem for extra coverage.<br /, &bull; Deep button placket for layering.<br /, &bull; Double rib design.<br /, &bull; Mid layer, mid weight.<br /, &bull; 98% Merino Wool / 2% Spandex",Clothing-Women,Hoodies,variable,57,http://eimages.valtim.com/acme-images/product/w/h/wh01-green_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WH02,Hera Pullover Hoodie,This is a variable product called a Hera Pullover Hoodie,"Get ready to rule the studio and dominate the yoga mat in the Hera Pullover Hoodie, a cozy yet classy look for any level of yogi.",Clothing-Women,Hoodies,variable,48,http://eimages.valtim.com/acme-images/product/w/h/wh02-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WH03,Autumn Pullie,This is a variable product called a Autumn Pullie,"With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.",Clothing-Women,Hoodies,variable,57,http://eimages.valtim.com/acme-images/product/w/h/wh03-red_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WH04,Miko Pullover Hoodie,This is a variable product called a Miko Pullover Hoodie,"After quality gym time, put on the Miko Pullover Hoody and keep your body warm. You'll find it's fashionable enough for the streets, but comfy enough to relax in at home.",Clothing-Women,Hoodies,variable,69,http://eimages.valtim.com/acme-images/product/w/h/wh04-blue_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WH05,Selene Yoga Hoodie,This is a variable product called a Selene Yoga Hoodie,"The Selene Yoga Hoodie gets you to and from the studio in semi form-fitted comfort. Snug, sleek contours add fashion to function in this free-moving yoga warm up sweatshirt.",Clothing-Women,Hoodies,variable,42,http://eimages.valtim.com/acme-images/product/w/h/wh05-white_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WH06,Daphne Full-Zip Hoodie,This is a variable product called a Daphne Full-Zip Hoodie,"The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.",Clothing-Women,Hoodies,variable,59,http://eimages.valtim.com/acme-images/product/w/h/wh06-purple_main.jpg,,{},,,,"{""overall"":100,""category"":998}",{},
WH07,Phoebe Zipper Sweatshirt,This is a variable product called a Phoebe Zipper Sweatshirt,A sophisticated layer of warmth awaits you in our full-zip sweatshirt jacket. You'll reach for this one in any season to enjoy its sturdy exterior and plush interior.,Clothing-Women,Hoodies,variable,59,http://eimages.valtim.com/acme-images/product/w/h/wh07-gray_main.jpg,,{},,,,"{""overall"":1001,""catalog"":999}",{},
WH08,Cassia Funnel Sweatshirt,This is a variable product called a Cassia Funnel Sweatshirt,The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.,Clothing-Women,Hoodies,variable,48,http://eimages.valtim.com/acme-images/product/w/h/wh08-white_main.jpg,,{},,,,"{""overall"":1002,""catalog"":999}",{},
WH09,Ariel Roll Sleeve Sweatshirt,This is a variable product called a Ariel Roll Sleeve Sweatshirt,"Soft, sleek and subtle, the Ariel Roll Sleeve Sweatshirt is a nuanced fitness garment for all occasions. It works equally well as a workout piece or in a casual social setting.",Clothing-Women,Hoodies,variable,39,http://eimages.valtim.com/acme-images/product/w/h/wh09-purple_main.jpg,,{},,,,"{""overall"":1003,""catalog"":999}",{},
WH10,Helena Hooded Fleece,This is a variable product called a Helena Hooded Fleece,"Wear this hoodie after the gym or before a chilly weather bike ride. Either way, this versatile sweatshirt offers an effortlessly appealing silhouette and a super-comfy fit. Smooth, stretchy fabric creates flattering shape, while the full-zip placket and hood help block gusty winds.",Clothing-Women,Hoodies,variable,55,http://eimages.valtim.com/acme-images/product/w/h/wh10-gray_main.jpg,,{},,,,"{""overall"":1004,""catalog"":999}",{},
WH11,Eos V-Neck Hoodie,This is a variable product called a Eos V-Neck Hoodie,Getting chilly before class starts? Wear the Eos on your way to and from yoga for a cute and cozy warmup piece. Reach for its reliable comfort and enjoy a super-soft blend of fabrics finished in sporty style that includes a hidden kangaroo pocket.,Clothing-Women,Hoodies,variable,54,http://eimages.valtim.com/acme-images/product/w/h/wh11-blue_main.jpg,,{},,,,"{""overall"":1005,""catalog"":999}",{},
WH12,Circe Hooded Ice Fleece,This is a variable product called a Circe Hooded Ice Fleece,"Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.",Clothing-Women,Hoodies,variable,68,http://eimages.valtim.com/acme-images/product/w/h/wh12-gray_main.jpg,,{},,,,"{""overall"":1006,""catalog"":999}",{},
WJ01,Stellar Solar Jacket,This is a variable product called a Stellar Solar Jacket,"Beat the heat and protect yourself from sunrays with the Stellar Solar Jacket. It's loaded with all the engineered categorys you need for an intense, safe outdoor workout: 100% UV protection, a breathable perforated construction, and advanced moisture-wicking technology.",Clothing-Women,Jackets,variable,75,http://eimages.valtim.com/acme-images/product/w/j/wj01-red_main.jpg,,{},,,,"{""overall"":1007,""catalog"":999}",{},
WJ02,Josie Yoga Jacket,This is a variable product called a Josie Yoga Jacket,"When your near future includes yoga, the cozy comfort of the Josie Yoga Jacket gets your mind and body ready. Stretchy CoolTech&trade; fabric with zipper pockets makes this jacket the right gear for studio time or teatime after.",Clothing-Women,Jackets,variable,56.25,http://eimages.valtim.com/acme-images/product/w/j/wj02-gray_main.jpg,,{},,,,"{""overall"":1008,""catalog"":999}",{},
WJ03,Augusta Pullover Jacket,This is a variable product called a Augusta Pullover Jacket,"It's hard to be uncomfortable in the Augusta Pullover Jacket with &frac14; zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.",Clothing-Women,Jackets,variable,57,http://eimages.valtim.com/acme-images/product/w/j/wj03-red_main.jpg,,{},,,,"{""overall"":1009,""catalog"":999}",{},
WJ04,Ingrid Running Jacket,This is a variable product called a Ingrid Running Jacket,"The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It categorys a full-zip construction and a collared neck to keep the elements out and body heat in. <br /,&bull; Slim fit. <br /,&bull; Moisture-wicking fabric. <br /,&bull; Two side pockets. <br /,&bull; Zippered pocket at back waist. <br /,&bull; Machine wash/dry.<br /,&bull; Ivory specked full zip",Clothing-Women,Jackets,variable,84,http://eimages.valtim.com/acme-images/product/w/j/wj04-white_main.jpg,,{},,,,"{""overall"":1010,""catalog"":999}",{},
WJ05,Riona Full Zip Jacket,This is a variable product called a Riona Full Zip Jacket,"The Riona Basic Zip Jacket makes the perfect extra layer for cold-weather workouts. It categorys amazing breathability and moisture management, but full-length zipper lets you moderate your core temperature even more.",Clothing-Women,Jackets,variable,60,http://eimages.valtim.com/acme-images/product/w/j/wj05-brown_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WJ06,Juno Jacket,This is a variable product called a Juno Jacket,"On colder-than-comfortable mornings, you'll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona&reg; technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.",Clothing-Women,Jackets,variable,77,http://eimages.valtim.com/acme-images/product/w/j/wj06-purple_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WJ07,Inez Full Zip Jacket,This is a variable product called a Inez Full Zip Jacket,"The Inez Full Zip jacket is more than a cute layer. It's a full-on tech wonder you'll use for outdoor, pre and post workout. You'll love how the highlighted zipper and sleeve safety trim protect and catch looks.",Clothing-Women,Jackets,variable,59,http://eimages.valtim.com/acme-images/product/w/j/wj07-purple_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WJ08,Adrienne Trek Jacket,This is a variable product called a Adrienne Trek Jacket,"You're ready for a cross-country jog or a coffee on the patio in the Adrienne Trek Jacket. Its style is unique with stand collar and drawstrings, and it fits like a jacket should.",Clothing-Women,Jackets,variable,57,http://eimages.valtim.com/acme-images/product/w/j/wj08-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WJ09,Jade Yoga Jacket,This is a variable product called a Jade Yoga Jacket,"<br /,If only all your other jackets were as comfortable as the relaxed-fit Jade Yoga Jacket, perfect for use during stretching, biking to and from studio or strolling on breezy fall days.",Clothing-Women,Jackets,variable,32,http://eimages.valtim.com/acme-images/product/w/j/wj09-green_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WJ10,Nadia Elements Shell,This is a variable product called a Nadia Elements Shell,"Protect yourself from wind and rain in the stylish Nadia Elements Shell. It repels water using hydro-resistant fabric, with fleece lining that adds a touch of warmth. It's finished with bold contrast zippers, adjustable cuffs and a hood.",Clothing-Women,Jackets,variable,69,http://eimages.valtim.com/acme-images/product/w/j/wj10-yellow_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WJ11,Neve Studio Dance Jacket,This is a variable product called a Neve Studio Dance Jacket,"If you're constantly on the move, the Neve Studio Dance Jacket is for you. It's not just for dance, either, with a tight fit that works as a mid-layer. The reversible design makes it even more versatile.",Clothing-Women,Jackets,variable,69,http://eimages.valtim.com/acme-images/product/w/j/wj11-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WJ12,Olivia 1/4 Zip Light Jacket,This is a variable product called a Olivia 1/4 Zip Light Jacket,"Running errands or headed to the gym, you just want to be comfortable. The Olivia Light Jacket promises that, plus a laid-back look. This zip-up is designed with shoulder stripes for an athletic touch, and banded waist and contoured seams for a flattering silhouette.",Clothing-Women,Jackets,variable,77,http://eimages.valtim.com/acme-images/product/w/j/wj12-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP01,Karmen Yoga Pant,This is a variable product called a Karmen Yoga Pant,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.",Clothing-Women,Pants,variable,39,http://eimages.valtim.com/acme-images/product/w/p/wp01-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP02,Emma Leggings,This is a variable product called a Emma Leggings,These comfortable and practical leggings pair perfectly with any workout top or casual tee. The Emma's subtle contrast fabric and fit ensure you're stylish without overdoing it.,Clothing-Women,Pants,variable,42,http://eimages.valtim.com/acme-images/product/w/p/wp02-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP03,Ida Workout Parachute Pant,This is a variable product called a Ida Workout Parachute Pant,"The Ida Workout Parachute Pant is made of lightweight, super-soft fabric that keeps you comfortable during any level of activity, whether Downward Dog or a few trail miles.",Clothing-Women,Pants,variable,48,http://eimages.valtim.com/acme-images/product/w/p/wp03-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP04,Cora Parachute Pant,This is a variable product called a Cora Parachute Pant,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.",Clothing-Women,Pants,variable,75,http://eimages.valtim.com/acme-images/product/w/p/wp04-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP05,Sahara Leggings,This is a variable product called a Sahara Leggings,"Contrast colors, full-length leggings, and opaque, high-stretch fabric define the Sahara. Flat-locked seams and quick-drying wicking properties prevent chafing. A deep elasticated waistband and carefully positioned seamlines create a flattering silhouette.",Clothing-Women,Pants,variable,75,http://eimages.valtim.com/acme-images/product/w/p/wp05-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP06,Diana Tights,This is a variable product called a Diana Tights,Perfect for hot bikram session or cool-down stretching. 8-percent stretch means you'll feel like anything is possible in the capri-style Diana Tights.,Clothing-Women,Pants,variable,59,http://eimages.valtim.com/acme-images/product/w/p/wp06-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP07,Aeon Capri,This is a variable product called a Aeon Capri,"Reach for the stars and beyond in these Aeon Capri pant. With a soft, comfortable feel and moisture wicking fabric, these duo-tone leggings are easy to wear -- and wear attractively.",Clothing-Women,Pants,variable,48,http://eimages.valtim.com/acme-images/product/w/p/wp07-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP08,Bardot Capri,This is a variable product called a Bardot Capri,Black is back &mdash; was it ever gone? &mdash; which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.,Clothing-Women,Pants,variable,48,http://eimages.valtim.com/acme-images/product/w/p/wp08-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP09,Carina Basic Capri,This is a variable product called a Carina Basic Capri,"Perfect as workout pants or accessory, the Carina Basic Capri is comfy as it is practical -- try it under skirts or shorts.",Clothing-Women,Pants,variable,51,http://eimages.valtim.com/acme-images/product/w/p/wp09-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP10,Daria Bikram Pant,This is a variable product called a Daria Bikram Pant,The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.,Clothing-Women,Pants,variable,51,http://eimages.valtim.com/acme-images/product/w/p/wp10-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP11,Sylvia Capri,This is a variable product called a Sylvia Capri,"Enjoy a sleek, slendering look in new Silvia Capri. Its engineer-designed support fabric feels great and gives the illusion of a slimmer fit.",Clothing-Women,Pants,variable,42,http://eimages.valtim.com/acme-images/product/w/p/wp11-green_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP12,Deirdre Relaxed-Fit Capri,This is a variable product called a Deirdre Relaxed-Fit Capri,"Invigorate your yoga practice with this Deirdre Relaxed-Fit Capri, designed to let you move without strain or restriction.",Clothing-Women,Pants,variable,63,http://eimages.valtim.com/acme-images/product/w/p/wp12-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WP13,Portia Capri,This is a variable product called a Portia Capri,"From yoga at dawn to evenings curled up with a book, our Portia Capri gives you the comfort and freedom to cruise through the day. The high-waisted design keeps you covered while you're bending and stretching, while contrast stripes promise a dash of sporty style.",Clothing-Women,Pants,variable,49,http://eimages.valtim.com/acme-images/product/w/p/wp13-orange_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS01,Gwyn Endurance Tee,This is a variable product called a Gwyn Endurance Tee,"When the miles add up, comfort is crucial. The short-sleeve Gwyn Endurance Tee is designed with an ultra-lightweight blend of breathable fabrics to help you tackle your training. Female-specific seams and a sporty v-neckline offer subtle style.",Clothing-Women,Tees,variable,24,http://eimages.valtim.com/acme-images/product/w/s/ws01-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS02,Gabrielle Micro Sleeve Top,This is a variable product called a Gabrielle Micro Sleeve Top,"Luma's most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.",Clothing-Women,Tees,variable,28,http://eimages.valtim.com/acme-images/product/w/s/ws02-green_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS03,Iris Workout Top,This is a variable product called a Iris Workout Top,"The Iris Workout Top is sleeveless, body fitting and moisture wicking for a fashionable, functional garment. Rouched textures add style.",Clothing-Women,Tees,variable,29,http://eimages.valtim.com/acme-images/product/w/s/ws03-red_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS04,Layla Tee,This is a variable product called a Layla Tee,"Work out or hang out in chic style in the Layla Tee. With a lightweight sheer design and a roomy neckline, this tee fits you comfortably while looking stylish.",Clothing-Women,Tees,variable,29,http://eimages.valtim.com/acme-images/product/w/s/ws04-green_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS05,Desiree Fitness Tee,This is a variable product called a Desiree Fitness Tee,"When you're too far to turn back, thank yourself for choosing the Desiree Fitness Tee. Its ultra-lightweight, ultra-breathable fabric wicks sweat away from your body and helps keeps you cool for the distance.",Clothing-Women,Tees,variable,24,http://eimages.valtim.com/acme-images/product/w/s/ws05-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS06,Elisa EverCool&trade; Tee,This is a variable product called a Elisa EverCool&trade; Tee,"When rising temps threaten to melt you down, Elisa EverCool&trade; Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.",Clothing-Women,Tees,variable,29,http://eimages.valtim.com/acme-images/product/w/s/ws06-purple_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS07,Juliana Short-Sleeve Tee,This is a variable product called a Juliana Short-Sleeve Tee,"The Juliana Short-Sleeve Tee gives you more than sporty style. Consider that its soft Cocona&reg; polyester fabric accelerates evaporation to help keep you dry and comfortable, too. And a selection of colors lets you get more than one.",Clothing-Women,Tees,variable,42,http://eimages.valtim.com/acme-images/product/w/s/ws07-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS08,Minerva LumaTech&trade; V-Tee,This is a variable product called a Minerva LumaTech&trade; V-Tee,Don't be fooled by the simple design of our Minerva LumaTech&trade; V-Neck Tee. This classic training top categorys the same serious sweat-wicking technology as some of the more expensive tees in our lineup.,Clothing-Women,Tees,variable,32,http://eimages.valtim.com/acme-images/product/w/s/ws08-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS09,Tiffany Fitness Tee,This is a variable product called a Tiffany Fitness Tee,"You'll work out and look cute doing it in the short-sleeve Tiffany Fitness Tee. The longer length and fitted cut offer a smoother silhouette, while scoop neck pattern and drape effects lend a trendy touch.",Clothing-Women,Tees,variable,28,http://eimages.valtim.com/acme-images/product/w/s/ws09-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS10,Karissa V-Neck Tee,This is a variable product called a Karissa V-Neck Tee,The Karissa V-Neck Tee categorys a semi-fitted shape that's flattering for every figure. You can hit the gym with confidence while it hugs curves and hides common problem areas.,Clothing-Women,Tees,variable,32,http://eimages.valtim.com/acme-images/product/w/s/ws10-red_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS11,Diva Gym Tee,This is a variable product called a Diva Gym Tee,"The Diva Gym Tee feels like your favorite right out of the mailbox. Micro-sleeved, lightweight and extra comfortable, it's a casual staple that hides incredible comfort behind a laid-back, carefree look.",Clothing-Women,Tees,variable,32,http://eimages.valtim.com/acme-images/product/w/s/ws11-yellow_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WS12,Radiant Tee,This is a variable product called a Radiant Tee,"So light and comfy, you'll love the Radiant Tee's organic fabric, feel, performance and style. You may never want to stop moving in this shirt.",Clothing-Women,Tees,variable,22,http://eimages.valtim.com/acme-images/product/w/s/ws12-orange_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH01,Fiona Fitness Short,This is a variable product called a Fiona Fitness Short,"Don't let the plain style fool you: the Fiona Fitness Short demands notice on several levels. Comfort, of course. But also a performance-grade wicking fabric that takes everything you can give.",Clothing-Women,Shorts,variable,29,http://eimages.valtim.com/acme-images/product/w/s/wsh01-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH02,Maxima Drawstring Short,This is a variable product called a Maxima Drawstring Short,"Even laid-back women like to stay stylish, and that's just what the Maxima Drawstring Short delivers. An elastic waist keeps the fit flexible, on the deck at home or on a trail walk. Sporty tennis flair adds an athletic accent.",Clothing-Women,Shorts,variable,28,http://eimages.valtim.com/acme-images/product/w/s/wsh02-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH03,Gwen Drawstring Bike Short,This is a variable product called a Gwen Drawstring Bike Short,"For a completely modern style with moisture-wicking CoolTech&trade; technology, try the Gwen Drawstring Bike Short. Subtle grays and eye catching stitching combine with an adjustable waist for the perfect look and fit.",Clothing-Women,Shorts,variable,50,http://eimages.valtim.com/acme-images/product/w/s/wsh03-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH04,Artemis Running Short,This is a variable product called a Artemis Running Short,Discover smooth jogging and chic comfort each time you slip into the Artemis Running Short. A unique maritime-inspired design and oolor theme categorys a stretchy drawstring waist.,Clothing-Women,Shorts,variable,45,http://eimages.valtim.com/acme-images/product/w/s/wsh04-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH05,Bess Yoga Short,This is a variable product called a Bess Yoga Short,"Designed for intense physical activity &ndash; think bikram &ndash; our Bess Yoga Short categorys moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.",Clothing-Women,Shorts,variable,28,http://eimages.valtim.com/acme-images/product/w/s/wsh05-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH06,Angel Light Running Short,This is a variable product called a Angel Light Running Short,"The Angel Light Running Short offers comfort in an ultra-lightweight, breathable package. With fabric infused with all-natural Cocona&reg; performance technology, it can whisk away sweat and block UV rays.",Clothing-Women,Shorts,variable,42,http://eimages.valtim.com/acme-images/product/w/s/wsh06-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH07,Echo Fit Compression Short,This is a variable product called a Echo Fit Compression Short,"Your muscles know it's go time the second you pull on the Echo Fit Compression Short. A balance of firm, stimulating squeeze with breathability, it offers the support and comfort you need to give it your all.",Clothing-Women,Shorts,variable,24,http://eimages.valtim.com/acme-images/product/w/s/wsh07-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH08,Sybil Running Short,This is a variable product called a Sybil Running Short,"Fortunately, it's okay to look cute while you're working out. The Sybil Running Short combines a fun, color-blocked design with breathable mesh fabric for sporty-fun style.",Clothing-Women,Shorts,variable,44,http://eimages.valtim.com/acme-images/product/w/s/wsh08-purple_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH09,Mimi All-Purpose Short,This is a variable product called a Mimi All-Purpose Short,"You can run, bike or swim in the do-anything, water-resistance Mimi Short. No need to worry about rubbing-induced soreness either, with flatlock seams and soft, chafe-resistant material.",Clothing-Women,Shorts,variable,44,http://eimages.valtim.com/acme-images/product/w/s/wsh09-gray_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH10,Ana Running Short,This is a variable product called a Ana Running Short,Time to lace up your kicks and beat that personal best in the Ana Running Short. It's designed with breathable mesh side panels to help keep you cool while you master the miles.,Clothing-Women,Shorts,variable,40,http://eimages.valtim.com/acme-images/product/w/s/wsh10-black_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH11,Ina Compression Short,This is a variable product called a Ina Compression Short,"One of Luma's most popular items, the Ina Compression Short has you covered with exceptional support and comfort, whether you're running the trail, riding a bike or ripping out reps. The ventilating fabric offers cool relief and prevents irritating chafing.",Clothing-Women,Shorts,variable,49,http://eimages.valtim.com/acme-images/product/w/s/wsh11-blue_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
WSH12,Erika Running Short,This is a variable product called Erika Running Shorts,"A great short with a body-hugging design, the Erika Running Short is perfect for runners who prefer a fitted short rather than the traditional baggy variety.",Clothing-Women,Shorts,variable,49,http://eimages.valtim.com/acme-images/product/w/s/wsh12-green_main.jpg,,{},,,,"{""overall"":1000,""catalog"":999}",{},
